item>>01 ASIN,item>>02 Parent ASIN,item>>03 Title,item>>04 Brand,item>>05 Seller,item>>06 Fulfilled by Amazon,item>>07 Sales Rank 1,item>>08 Sales Rank 1 Caregory,item>>09 Sales Rank 2,item>>10 Sales Rank 2 Category,item>>11 Sales Rank 3,item>>12 Sales Rank 3 Category,item>>13 Categories,item>>14 URL,item>>15 Color,item>>16 Size,item>>19 Price,item>>20 Availability,item>>21 Images
B07G35B59V,B085RG6TXQ,ALONG FIT Yoga Pants for Women mesh Leggings with Side Pockets Mid Waisted Leggings,ALONG FIT,AlongFit,yes,1,Clothing & Accessories Clothing & Accessories,1,Women's Athletic Tights & Leggings,,,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B07G35B59V?psc=1,Capri-BLACK,X-Small,22.09,In Stock.,https://images-na.ssl-images-amazon.com/images/I/51sY1k-T7qL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/61o6xqgJozL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/61kN0DIKVwL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71xKI5N-jPL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/612YJ0q6xbL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71sVc2edDTL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71IcwGcnItL._AC_UL1300_.jpg
B073WVDG6G,B073WTRF7C,Assivia Womens Wide Leg Yoga Palazzo Pants Casual Printed Drawstring Trousers,Assivia,Nhuqutai,no,5,Clothing & Accessories Clothing & Accessories,1,Women's Plus Activewear,1,Women's Athletic Pants,Clothing & Accessories|Women|Activewear|Pants,https://www.amazon.ca/dp/B073WVDG6G?psc=1,Black,Small,16.20,Usually ships within 2 to 3 days.,https://images-na.ssl-images-amazon.com/images/I/61oF0mSb1tL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/51lSc%2BAJE-L._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/51GN7SqhgtL._AC_.jpg|https://images-na.ssl-images-amazon.com/images/I/71dmNOfnHRL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71XlUYnrYeL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81xKRrhdFJL._AC_UL1500_.jpg
B07DRHG6XT,B07F2DRX8Q,TIJN Blue Light Blocking Glasses Square Nerd Eyeglasses Frame Computer Game Glasses,TIJN,TIJN,yes,7,Clothing & Accessories Clothing & Accessories,1,Women's Prescription Eyewear Frames,1,Women's Sunglasses,Clothing & Accessories|Women|Accessories|Eyewear & Accessories|Prescription Eyewear Frames,https://www.amazon.ca/dp/B07DRHG6XT?psc=1,(01)-Transparent,,19.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/41pYLFFao6L._AC_UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/618l9u1RieL._AC_UL1100_.jpg|https://images-na.ssl-images-amazon.com/images/I/61RLLp649QL._AC_UL1400_.jpg|https://images-na.ssl-images-amazon.com/images/I/618zNxyzeoL._AC_UL1400_.jpg|https://images-na.ssl-images-amazon.com/images/I/61NyDIl6meL._AC_UL1400_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ghx1-1eBL._AC_UL1400_.jpg
B078P4FYRB,B07YHCRM6J,QUEENIEKE Women Yoga Legging Running High Waist Pants Workout Tights 60129,QUEENIEKE,Queenie Ke,yes,11,Clothing & Accessories Clothing & Accessories,1,Women's Leggings,2,Women's Athletic Tights & Leggings,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B078P4FYRB?psc=1,Black,Small,32.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71mBC0wBXsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/715amXwoj6L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61gsIlosv5L._AC_UL1360_.jpg|https://images-na.ssl-images-amazon.com/images/I/81SHbpm4jhL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71kVBEfCQtL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81YrsIj-BoL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/811qNuYowAL._AC_UL1500_.jpg
B07J4NWC5W,B07RXR6R6M,ALONG FIT High Waisted Leggings with Pockets for Women Workout Tummy Control Leggings,ALONG FIT,AlongFit,yes,13,Clothing & Accessories Clothing & Accessories,2,Women's Leggings,2,Women's Athletic Pants,Clothing & Accessories|Women|Leggings,https://www.amazon.ca/dp/B07J4NWC5W?psc=1,High waist-Army Green,X-Small,28.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/51i6%2BRmoQ9L._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/611jXhwjUDL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/61Eui30ZCLL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/61G6%2Ba9SBML._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/51ShRzAvDeL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71C7M6W3RlL._AC_UL1300_.jpg|https://images-na.ssl-images-amazon.com/images/I/71g6NbDyzXL._AC_UL1300_.jpg
B07ZGN56VN,B0824VMFYM,habibee Angelhood Womens Nursing Bra Seamless Sleep Breastfeeding Maternity Bra with Remove Bra Pads Extenders 3 Pack,habibee,habi-accessories,yes,14,Clothing & Accessories Clothing & Accessories,1,Maternity Lingerie & Underwear,,,Clothing & Accessories|Women|Shops|Maternity|Lingerie & Underwear,https://www.amazon.ca/dp/B07ZGN56VN?psc=1,Black/Nude/Pink,Small,33.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/81Hlc93U5aL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71MXCzGfoeL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71uRa%2BsSiBL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71fs4X2-7fL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71gGt50PqsL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71TxWk0tMBL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71nfKUarnuL._AC_UL1500_.jpg
B07F6JLWV8,B07F9QCKRR,SEASUM Women's High Waist Leggings Ruched Butt Shapewear Tights Yoga Pants,SEASUM,FVBACK-Direct,no,15,Clothing & Accessories Clothing & Accessories,1,Women's Fitness Clothing,3,Women's Leggings,Clothing & Accessories|Women|Leggings,https://www.amazon.ca/dp/B07F6JLWV8?psc=1,#1Black,Small,19.66,Usually ships within 2 to 3 days.,https://images-na.ssl-images-amazon.com/images/I/716Zk5MiWzL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61eNwpnf87L._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/715zZ-Np9RL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/719Q4uwv7gL._AC_UL1001_.jpg|https://images-na.ssl-images-amazon.com/images/I/71bCrNHSlML._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71SfbUYFJTL._AC_UL1001_.jpg
B07PTNVYJL,B0773D5LRV,wirarpa Women's High Waisted Cotton Underwear Ladies Soft Full Briefs Panties Multipack,wirarpa,Wirarpa Apparel Shop,yes,17,Clothing & Accessories Clothing & Accessories,1,Women's Briefs,,,"Clothing & Accessories|Women|Lingerie, Sleep & Lounge|Lingerie & Underwear|Panties|Briefs",https://www.amazon.ca/dp/B07PTNVYJL?psc=1,Black-4 Pack,X-Small,24.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61L9vfUra9L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61sjqbseIyL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61kwWUza8fL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71e7ELYYEXL._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/71ArdsLQ44L._AC_UL1200_.jpg|https://images-na.ssl-images-amazon.com/images/I/61c6wBziyWL._AC_UL1200_.jpg
B06Y5YX7W9,B07118YQ4W,WHITE CROSS Fit Women's Jogger Scrub Pant,WHITE CROSS,Professional Outfitters,yes,22,Clothing & Accessories Clothing & Accessories,1,Women's Medical Scrub Bottoms,9,Women's Clothing,"Clothing & Accessories|Uniforms, Work & Safety|Women|Medical|Scrub Bottoms",https://www.amazon.ca/dp/B06Y5YX7W9?psc=1,Black,XX-Small,39.07,In Stock.,https://images-na.ssl-images-amazon.com/images/I/61zyr336C9L._AC_UL1500_.jpg
B01N5P20S5,B01N39MD3T,QUEENIEKE Women Yoga Pants Hidden Pockets Workout Running Tights Plus Size Sport Leggings 60126,QUEENIEKE,Queenie Ke,yes,25,Clothing & Accessories Clothing & Accessories,3,Women's Athletic Tights & Leggings,,,Clothing & Accessories|Women|Activewear|Tights & Leggings,https://www.amazon.ca/dp/B01N5P20S5?psc=1,Midnight Black,X-Small,30.99,In Stock.,https://images-na.ssl-images-amazon.com/images/I/71SfztUpBqL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/71wAtjhEJ2L._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61ocJF8y6rL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/61mrFQl-fyL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81ZGD5-NhVL._AC_UL1500_.jpg|https://images-na.ssl-images-amazon.com/images/I/81D1e96ElgL._AC_UL1500_.jpg
